STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2016,,34.8,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2017,,36.8,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2018,,37.1,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2019,,42.5,,b,break in time series,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2020,,34.9,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2021,,36.5,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2022,,35.1,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2023,,34.1,,,,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,BG,Bulgaria,2024,,35.1,,b,break in time series,,
dataflow,ESTAT:UNE_EDUC_A(1.0),"Unemployment by sex, age and educational attainment - annual data",A,Annual,F,Females,ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",Y20-64,From 20 to 64 years,PC_UNE,Percentage of unemployment,CH,Switzerland,2010,,26.1,,b,break in time series,,
